"CaseNo","SegID","MilePost","Month","Day","Time","Weekday","Impact","Weather","SurfCond","Light","Severity","Fire"
"2002C01785",1286,167.26,"06","28","1715","5","D1","3","2","1",7,"0"
"2002C01787",4265,11.42,"06","28","1645","5","A2","3","2","1",1,"0"
"2002C01788",1481,185.22,"06","28","1530","5","D1","1","2","1",7,"0"
"2002C01790",3483,277.07,"06","28","1545","5","A1","1","1","1",7,"0"
"2002C01794",970,143.13,"06","28","2200","5","D1","3","2","6",1,"0"
"2002C01809",973,143.93,"07","02","1500","2","D1","1","1","1",1,"0"
"2002C01811",663,104.77,"07","02","1730","2","D1","1","1","1",7,"0"
"2002C01816",810,123.26,"07","02","1700","2","A1","0","1","1",7,"0"
"2002C01820",2248,1.62,"07","02","0745","2","A1","1","1","1",7,"0"
"2002C01829",3602,285.15,"04","27","0815","6","A4","1","1","1",7,"0"
"2002C01843",1525,189.66,"04","30","1450","2","A1","1","1","1",1,"0"
"2002C01850",2265,4.14,"04","30","1630","2","A2","1","1","1",7,"0"
"2002C01851",1046,151.16,"04","30","1710","2","D1","1","1","1",1,"0"
"2002C01860",1175,161.21,"05","05","0935","7","A1","1","1","1",1,"0"
"2002C01869",914,136.13,"05","13","1700","1","D1","3","2","1",1,"0"
"2002C01876",863,132.16,"05","19","1610","7","A1","3","2","1",1,"0"
"2002C01888",1101,154.74,"05","29","1845","3","D5","1","1","3",1,"0"
"2002C01889",1101,154.74,"05","29","1730","3","D4","0","9","9",1,"0"
"2002C01910",3847,11.72,"05","30","1730","4","D3","1","1","1",6,"0"
"2002C01955",1013,148.06,"06","11","0730","2","A1","1","1","2",1,"0"
"2002C01973",3738,2.78,"06","13","1150","4","D2","0","1","1",1,"0"
"2002C01979",933,138.67,"06","15","1725","6","D2","1","1","1",1,"0"
"2002C01993",1301,169.03,"06","18","1430","2","D1","1","1","1",1,"0"
"2002C01996",26,1.55,"06","18","0630","2","D2","0","9","9",1,"0"
"2002C02001",863,131.89,"06","18","0703","2","A1","0","9","9",7,"0"
"2002C02009",4121,3.98,"06","18","2250","2","D1","1","1","4",1,"0"
"2002C02013",862,131.71,"06","20","1500","4","A2","1","1","1",1,"0"
"2002C02016",622,99.82,"06","20","2230","4","D1","0","9","9",1,"0"
"2002C02026",1012,147.70,"06","19","0650","3","A4","0","9","2",1,"0"
"2002C02031",1343,172.49,"06","19","1520","3","A1","1","1","1",7,"0"
"2002C02045",1297,168.28,"06","22","0700","6","A1","1","1","1",7,"0"
"2002C02055",4117,2.00,"06","29","1230","6","A1","1","1","1",6,"0"
"2002C02060",4215,7.92,"07","30","1850","2","D3","1","1","1",7,"0"
"2002C02061",1340,172.38,"07","30","1630","2","A2","1","1","1",1,"0"
"2002C02062",4061,27.01,"07","30","0740","2","D3","3","2","1",7,"0"
"2002C02085",1300,168.93,"06","30","1300","7","D1","1","1","1",1,"0"
"2002C02091",3792,7.08,"07","31","1010","3","A1","1","1","1",1,"0"
"2002C02125",1327,170.98,"07","15","1300","1","D1","1","1","1",7,"0"
"2002C02135",3714,1.19,"07","15","1940","1","A1","1","1","1",7,"0"
"2002C02138",4056,26.35,"07","16","2120","2","A2","1","1","4",1,"0"
"2002C02143",1290,167.45,"07","16","1530","2","D1","1","1","1",6,"0"
"2002C02144",1265,166.01,"07","16","1600","2","D2","1","1","1",1,"0"
"2002C02163",1286,167.26,"07","19","1815","5","D1","1","1","1",7,"0"
"2002C02170",382,59.06,"07","26","1700","5","A1","0","9","1",1,"0"
"2002C02173",890,134.21,"07","26","1300","5","A1","1","1","1",7,"0"
"2002C02181",519,78.90,"07","26","1600","5","A1","1","1","1",7,"0"
"2002C02192",4096,0.25,"06","12","1700","3","D1","0","9","1",7,"0"
"2002C02203",894,134.90,"06","21","1730","5","A3","1","1","1",6,"0"
"2002C02209",1308,169.41,"06","21","1740","5","D4","0","9","1",1,"0"
"2002C02215",3723,1.94,"06","25","1508","2","A2","1","1","1",1,"0"
"2002C02219",1361,174.61,"06","25","1345","2","D1","1","1","1",7,"0"
"2002C02225",4041,24.75,"06","25","0800","2","D2","1","1","1",1,"0"
"2002C02229",3975,20.61,"06","24","0735","1","D1","1","1","1",1,"0"
"2002C02238",888,134.16,"07","01","0630","1","A1","1","1","1",1,"0"
"2002C02242",4120,3.83,"07","01","1648","1","D2","1","1","1",1,"0"
"2002C02248",1439,180.77,"07","01","0650","1","D1","2","1","1",7,"0"
"2002C02257",546,82.21,"07","07","1359","7","D1","3","2","1",7,"0"
"2002C02319",1594,198.14,"07","28","1505","7","A3","1","1","1",1,"0"
"2002C02325",861,131.41,"07","28","1610","7","A4","2","1","1",1,"0"
"2002C02329",1174,161.10,"08","03","1100","6","A2","1","1","1",1,"0"
"2002C02334",1,0.14,"08","05","1210","1","A1","1","1","1",7,"0"
"2002C02336",97,9.36,"08","05","1800","1","A1","3","2","1",7,"0"
"2002C02344",891,134.27,"08","05","1500","1","A1","1","1","1",1,"0"
"2002C02346",1,0.00,"08","07","1430","3","A1","1","1","1",1,"0"
"2002C02348",3396,267.65,"08","05","1530","1","D1","9","1","1",7,"0"
"2002C02349",1184,161.56,"08","07","0730","3","A4","1","1","1",1,"0"
"2002C02354",1230,164.27,"08","07","1730","3","A1","1","1","1",7,"0"
"2002C02368",3,0.28,"08","12","1450","1","D1","1","1","1",1,"0"
"2002C02376",3782,5.58,"08","12","1500","1","D1","1","1","1",1,"0"
"2002C02388",971,143.56,"07","11","1630","4","D1","1","1","1",1,"0"
"2002C02394",1321,170.56,"08","19","1520","1","D4","1","1","1",7,"0"
"2002C02399",11,0.72,"08","19","1700","1","A3","1","1","1",1,"0"
"2002C02409",2401,14.47,"05","13","1820","1","A1","3","2","3",7,"0"
"2002C02430",511,78.10,"05","17","0745","5","A2","1","1","1",7,"0"
"2002C02432",2255,2.64,"05","17","1700","5","A1","1","1","1",1,"0"
"2002C02435",627,101.07,"06","17","1440","1","A3","2","1","1",7,"0"
"2002C02490",4277,11.79,"07","25","1730","4","A1","2","1","1",7,"0"
"2002C02492",3811,9.48,"07","25","1830","4","D1","1","1","1",7,"0"
"2002C02504",4041,24.75,"08","01","0730","4","D1","1","1","1",1,"0"
"2002C02510",954,141.67,"08","01","1630","4","D3","1","1","1",1,"0"
"2002C02520",916,136.30,"08","04","0207","7","D1","1","1","4",7,"0"
"2002C02521",855,130.46,"08","04","1315","7","A1","3","2","1",1,"0"
"2002C02523",962,142.19,"08","02","2200","5","D1","1","1","4",7,"0"
"2002C02526",920,136.79,"08","04","0100","7","D4","1","1","6",1,"0"
"2002C02531",791,121.01,"08","02","1430","5","A1","1","1","1",0,"0"
"2002C02536",741,115.23,"08","04","1530","7","A1","1","1","1",7,"0"
"2002C02542",891,134.34,"08","13","1545","2","A4","1","1","1",6,"0"
"2002C02545",3763,4.58,"08","13","1400","2","D1","8","1","1",7,"0"
"2002C02556",880,133.42,"08","08","0700","4","A1","1","1","1",1,"0"
"2002C02559",1213,163.08,"08","15","1130","4","A2","1","1","1",1,"0"
"2002C02569",1549,192.53,"08","16","1700","5","A1","1","1","1",1,"0"
"2002C02586",3859,12.80,"08","16","1500","5","D1","1","1","1",1,"0"
"2002C02591",872,132.72,"08","17","2220","6","A1","1","1","5",1,"0"
"2002C02594",1567,193.48,"08","17","1130","6","A1","1","1","1",7,"0"
"2002C02597",877,133.21,"08","16","1445","5","A1","1","1","1",0,"0"
"2002C02610",1335,171.71,"10","12","1125","6","D1","1","1","1",1,"0"
"2002C02619",856,131.11,"10","12","0830","6","D1","1","1","1",1,"0"
"2002C02631",3920,15.48,"10","09","1910","3","A1","9","9","9",1,"0"
"2002C02640",4005,22.61,"08","20","0700","2","D1","2","1","1",7,"0"
"2002C02644",873,132.81,"08","18","1930","7","A1","1","1","1",1,"0"
"2002C02649",1247,165.34,"08","28","1015","3","A1","1","1","1",7,"0"
"2002C02655",29,1.84,"08","29","0635","4","D2","1","1","1",1,"0"
"2002C02656",1414,178.49,"08","29","0645","4","D1","0","1","1",7,"0"
"2002C02662",1289,167.43,"08","29","1645","4","A1","0","1","1",7,"0"
"2002C02674",834,127.30,"08","23","1330","5","D1","1","1","1",7,"0"
"2002C02675",1414,178.51,"08","27","0715","2","D3","1","1","1",1,"0"
"2002C02680",2344,8.29,"08","27","1715","2","D7","1","1","1",1,"0"
"2002C02682",1499,187.59,"08","23","1400","5","A1","1","1","1",0,"0"
"2002C02684",2263,4.03,"08","23","1630","5","A3","1","1","1",1,"0"
"2002C02712",3785,5.87,"05","23","0730","4","A2","9","1","1",7,"0"
"2002C02717",43,2.90,"06","26","0800","3","D2","1","1","1",1,"0"
"2002C02726",3646,291.30,"06","27","1145","4","A2","1","1","1",7,"0"
"2002C02729",1205,162.61,"06","27","1545","4","A1","1","1","1",7,"0"
"2002C02735",1077,153.81,"07","05","1300","5","A1","1","1","1",1,"0"
"2002C02743",1296,168.19,"07","05","1745","5","D1","1","1","1",7,"0"
"2002C02759",3891,14.32,"07","09","1700","2","D1","1","1","1",7,"0"
"2002C02760",877,133.24,"07","09","1615","2","A4","0","9","1",7,"0"
"2002C02769",1333,171.56,"07","15","2120","1","A1","0","9","9",1,"0"
"2002C02792",1190,161.84,"08","06","0700","2","A4","2","1","2",7,"0"
"2002C02795",34,2.42,"08","09","1315","5","A2","1","1","1",1,"0"
"2002C02805",1225,164.01,"08","06","1450","2","A1","1","1","1",7,"0"
"2002C02816",698,108.92,"08","11","1530","7","A3","1","1","1",7,"0"
"2002C02817",1821,227.80,"08","09","1515","5","A1","1","1","1",1,"0"
"2002C02824",3726,2.25,"08","06","0001","2","D2","0","1","9",1,"0"
"2002C02836",1309,169.56,"08","06","1720","2","A2","1","1","1",6,"0"
"2002C02847",1102,154.83,"08","10","1930","6","A4","9","1","1",1,"0"
"2002C02860",1300,168.63,"11","02","2150","6","A1","3","2","4",7,"0"
"2002C02874",1526,189.84,"11","01","1945","5","A4","1","1","4",7,"0"
"2002C02888",681,106.92,"10","18","1810","5","D3","1","1","1",7,"0"
"2002C02891",1317,170.11,"10","19","1345","6","D1","1","1","1",7,"0"
"2002C02898",1318,170.19,"10","20","1700","7","D5","1","1","1",1,"0"
"2002C02904",1300,168.69,"10","27","1630","7","D4","2","1","1",1,"0"
"2002C02929",1019,148.98,"10","10","0805","4","A3","2","2","1",6,"0"
"2002C02936",897,135.01,"10","14","1430","1","A2","9","9","1",6,"0"
"2002C02938",1279,166.70,"10","14","1520","1","D1","1","1","1",1,"0"
"2002C02941",47,3.35,"10","10","0800","4","D1","3","2","2",1,"0"
"2002C02944",615,99.04,"10","10","1201","4","A2","1","1","1",1,"0"
"2002C02951",1366,174.96,"10","14","0550","1","D1","1","1","4",7,"0"
"2002C02954",1352,173.14,"10","14","1730","1","D2","9","1","1",7,"0"
"2002C02962",4099,0.49,"10","07","0715","1","D1","2","2","2",7,"0"
"2002C02979",1421,179.61,"10","16","0738","3","D1","1","1","2",6,"0"
"2002C02987",1054,151.76,"10","16","0715","3","A4","2","1","2",7,"0"
"2002C02989",1375,175.82,"10","16","1900","3","A1","1","1","4",7,"0"
"2002C02993",3934,17.39,"08","22","1620","4","A3","1","1","1",1,"0"
"2002C03000",738,114.95,"08","25","1830","7","A2","2","1","1",1,"0"
"2002C03025",591,90.53,"07","18","2310","4","A1","1","1","6",1,"0"
"2002C03044",2316,7.12,"11","22","0705","5","A1","2","1","2",7,"0"
"2002C03059",1279,166.68,"11","24","1645","7","A1","1","1","3",1,"0"
"2002C03066",1278,166.57,"11","07","1200","4","A1","2","1","1",0,"0"
"2002C03073",4261,11.23,"11","07","1750","4","A1","2","2","4",7,"0"
"2002C03086",941,139.30,"11","07","1630","4","D1","2","1","1",7,"0"
"2002C03090",3933,17.20,"09","04","1715","3","A3","1","1","1",7,"0"
"2002C03093",3772,5.01,"09","04","0825","3","A1","0","1","1",1,"0"
"2002C03101",1037,150.04,"09","18","1430","3","D3","1","1","1",1,"0"
"2002C03108",1008,147.32,"09","15","1600","7","D1","1","1","1",7,"0"
"2002C03117",1591,196.44,"10","24","0730","4","D1","5","2","2",1,"0"
"2002C03129",1167,160.56,"10","24","0800","4","A5","5","1","2",1,"0"
"2002C03131",880,133.42,"10","31","0735","4","A5","1","1","1",7,"0"
"2002C03146",2386,12.56,"10","31","0815","4","D3","1","1","1",1,"0"
"2002C03155",1174,161.06,"10","01","0950","2","A3","1","1","1",7,"0"
"2002C03159",3713,1.15,"10","13","1450","7","A1","1","1","1",7,"0"
"2002C03168",1361,174.60,"10","04","0620","5","D3","2","1","2",6,"0"
"2002C03169",1545,192.34,"10","04","1600","5","A1","2","1","1",7,"0"
"2002C03172",1534,191.22,"10","04","1615","5","A1","0","9","7",1,"0"
"2002C03174",571,87.36,"10","04","1530","5","A2","1","1","1",1,"0"
"2002C03176",78,6.37,"10","13","1330","7","D1","1","1","1",1,"0"
"2002C03185",1306,169.35,"08","21","1615","3","A1","1","1","1",1,"0"
"2002C03186",929,138.16,"08","21","1700","3","D1","1","1","1",1,"0"
"2002C03216",2029,253.06,"06","24","1600","1","D1","1","1","9",1,"0"
"2002C03234",3707,0.88,"11","23","1830","6","A1","2","1","4",7,"0"
"2002C03237",1311,169.85,"11","18","1800","1","A2","2","1","3",6,"0"
"2002C03240",955,141.69,"11","18","1735","1","A1","3","2","6",7,"0"
"2002C03249",1560,193.13,"11","20","1730","3","A1","1","1","3",7,"0"
"2002C03260",3824,10.33,"11","20","1830","3","D1","2","2","6",1,"0"
"2002C03268",984,144.80,"11","12","1730","2","D2","2","2","4",1,"0"
"2002C03296",1847,230.06,"11","08","1420","5","D2","3","2","1",7,"0"
"2002C03300",2333,7.79,"11","08","1600","5","D2","2","1","1",7,"0"
"2002C03306",1236,164.62,"11","03","1710","7","A2","1","1","3",1,"0"
"2002C03315",2348,8.93,"11","04","1730","1","D2","2","1","4",1,"0"
"2002C03321",2256,3.56,"11","04","0900","1","A1","0","9","1",1,"0"
"2002C03324",1585,194.56,"12","07","1700","6","D1","1","1","6",1,"0"
"2002C03328",2207,276.62,"12","07","1800","6","A2","2","1","4",1,"0"
"2002C03337",1068,153.04,"10","03","0630","4","A1","3","2","6",1,"0"
"2002C03340",4187,6.94,"10","03","0910","4","D1","3","2","1",1,"0"
"2002C03347",3751,4.00,"09","03","0730","2","A2","1","1","1",1,"0"
"2002C03348",1540,192.16,"09","03","1440","2","A1","1","1","1",7,"0"
"2002C03350",1246,165.29,"09","03","1515","2","A4","1","1","1",1,"0"
"2002C03361",4128,4.24,"09","05","1520","4","A2","1","1","1",1,"0"
"2002C03397",213,31.30,"09","16","1530","1","A1","3","2","1",6,"0"
"2002C03401",1309,169.61,"09","22","1300","7","D4","1","1","1",6,"0"
"2002C03409",3856,12.43,"09","12","1740","4","D1","1","1","1",7,"0"
"2002C03414",4119,3.07,"09","20","0900","5","A1","1","1","1",0,"0"
"2002C03421",1007,147.16,"09","12","0640","4","A3","1","1","2",6,"0"
"2002C03439",34,2.36,"09","18","0745","3","D1","1","1","1",6,"0"
"2002C03442",1037,150.05,"09","18","1430","3","D3","1","1","1",7,"0"
"2002C03454",3740,2.84,"09","13","1630","5","D2","1","1","1",1,"0"
"2002C03458",1358,174.14,"09","23","0620","1","D4","1","1","2",1,"0"
"2002C03462",1043,150.97,"09","16","1815","1","D1","1","1","1",1,"0"
"2002C03473",1339,172.08,"09","13","1415","5","D2","1","1","1",7,"0"
"2002C03481",1044,151.06,"09","13","1519","5","D5","1","1","1",7,"0"
"2002C03487",1220,163.34,"09","17","1920","2","D2","0","1","3",7,"0"
"2002C03502",1432,180.20,"09","16","0700","1","D1","3","2","1",7,"0"
"2002C03503",869,132.56,"09","13","0650","5","A2","0","1","2",7,"0"
"2002C03519",1320,170.48,"09","26","1415","4","D1","1","1","1",7,"0"
"2002C03543",4053,26.28,"10","21","1900","1","A1","0","1","4",7,"0"
"2002C03546",4061,27.03,"09","27","0700","5","D2","1","1","1",7,"0"
"2002C03563",1384,176.48,"10","31","1815","4","A1","0","1","4",7,"0"
"2002C03565",879,133.37,"10","31","1700","4","A1","1","1","3",1,"0"
"2002C03577",3934,17.35,"10","03","1545","4","A2","2","2","1",1,"0"
"2002C03587",986,145.06,"10","29","1545","2","D1","1","1","1",6,"0"
"2002C03590",1362,174.68,"10","29","1030","2","D1","2","1","1",1,"0"
"2002C03595",858,131.27,"08","31","1230","6","A1","1","1","1",1,"0"
"2002C03596",1281,166.90,"05","17","1920","5","D2","1","1","1",1,"0"
"2002C03608",3750,3.90,"08","13","0645","2","D2","1","1","1",1,"0"
"2002C03614",973,143.91,"11","27","1630","3","D1","1","1","1",1,"0"
"2002C03618",1267,166.06,"11","27","1215","3","D1","1","1","1",1,"0"
"2002C03630",2393,13.45,"11","26","0730","2","D1","3","2","2",6,"0"
"2002C03634",2295,6.17,"11","26","1715","2","A1","1","1","3",6,"0"
"2002C03638",3798,7.54,"11","25","1703","1","D2","0","9","9",1,"0"
"2002C03657",3850,12.07,"11","15","1300","5","D1","0","1","1",1,"0"
"2002C03663",21,1.31,"11","30","1600","6","A1","1","1","1",1,"0"
"2002C03675",1347,172.79,"11","09","1415","6","D3","2","1","1",7,"0"
"2002C03676",971,143.51,"11","09","1715","6","D1","3","2","6",1,"0"
"2002C03690",1272,166.36,"11","05","1630","2","A2","1","1","1",6,"0"
"2002C03691",1317,170.11,"11","09","1430","6","D3","1","1","1",7,"0"
"2002C03694",1613,199.16,"11","05","0615","2","D1","3","2","4",7,"0"
"2002C03718",1541,192.21,"12","04","1815","3","A4","1","2","4",1,"0"
"2002C03725",4120,3.82,"12","02","2005","1","D2","0","1","4",1,"0"
"2002C03728",3600,285.01,"12","05","1710","4","A1","2","1","3",1,"0"
"2002C03730",1428,180.07,"12","03","0800","2","D3","3","2","1",6,"0"
"2002C03744",4272,11.66,"11","06","1845","3","A2","3","2","4",7,"0"
"2002C03757",2353,9.11,"11","06","1745","3","D1","3","2","4",7,"0"
"2002C03766",1364,174.79,"12","13","1700","5","D2","3","2","4",7,"0"
"2002C03778",1347,172.74,"12","12","1510","4","D1","3","2","1",6,"0"
"2002C03782",3873,13.67,"12","12","1315","4","A1","3","2","1",1,"0"
"2002C03803",3812,9.70,"12","16","0555","1","A3","3","2","9",7,"0"
"2002C03806",1549,192.55,"12","16","1515","1","A2","3","2","3",7,"0"
"2002C03810",894,134.89,"12","16","1400","1","D2","1","2","1",1,"0"
"2002C03830",959,142.08,"12","16","1330","1","D2","9","2","1",7,"0"
"2002C03832",1486,186.21,"12","16","0750","1","A1","0","9","9",7,"0"
"2002C03900",872,132.69,"10","17","1520","4","D2","1","1","1",1,"0"
"2002C03910",854,130.31,"09","24","0745","2","A2","1","1","1",7,"0"
"2002C03913",4107,0.90,"10","17","0850","4","A2","5","1","1",7,"0"
"2002C03935",16,1.05,"10","22","0645","2","D1","1","1","2",7,"0"
"2002C03940",953,141.27,"09","29","1551","7","A1","2","1","1",1,"0"
"2002C03953",1592,197.20,"10","23","0800","3","D2","1","1","1",6,"0"
"2002C03960",1456,182.52,"10","23","0700","3","D1","3","2","2",1,"0"
"2002C03963",5,0.38,"10","28","0830","1","D2","1","2","1",7,"0"
"2002C03978",2345,8.48,"09","28","0715","6","A1","9","1","2",1,"0"
"2002C03979",1324,170.82,"09","28","1120","6","D1","1","1","1",1,"0"
"2002C03982",4098,0.33,"09","28","1110","6","A2","1","1","1",7,"0"
"2002C03986",3849,11.88,"09","30","1230","1","D2","0","1","1",7,"0"
"2002C03989",3726,2.24,"09","30","0635","1","D2","0","9","9",1,"0"
"2002C04003",1360,174.31,"10","05","1400","6","A1","1","1","1",1,"0"
"2002C04025",3865,13.14,"10","03","0930","4","A1","3","2","1",1,"0"
"2002C04029",1568,193.57,"08","24","1540","6","D1","1","1","1",1,"0"
"2002C04032",3710,0.96,"08","13","1900","2","A2","0","1","4",1,"0"
"2002C04043",1669,206.68,"11","19","0930","2","A1","1","2","1",7,"0"
"2002C04095",1271,166.28,"11","21","1410","4","D3","1","1","1",1,"0"
"2002C04105",3913,15.07,"12","06","1600","5","D3","1","1","3",1,"0"
"2002C04108",1452,182.10,"12","06","1700","5","D2","2","2","4",7,"0"
"2002C04109",1225,163.97,"12","06","1630","5","A1","1","1","1",7,"0"
"2002C04115",1,0.13,"12","06","1145","5","D1","1","1","1",7,"0"
"2002C04133",3549,281.00,"12","06","1800","5","D2","2","1","3",1,"0"
"2002C04157",973,144.01,"12","09","1420","1","D4","3","2","1",5,"0"
"2002C04158",4263,11.34,"12","10","1810","2","A1","3","2","4",6,"0"
"2002C04167",4095,0.15,"12","10","1450","2","A1","3","2","1",7,"0"
"2002C04184",1361,174.62,"12","14","1905","6","D1","3","2","4",7,"0"
"2002C04191",3750,3.80,"12","14","1350","6","D2","3","2","1",1,"0"
"2002C04192",828,125.76,"12","11","1740","3","A1","0","2","4",6,"0"
"2002C04196",1591,196.83,"12","11","0745","3","D1","3","2","1",7,"0"
"2002C04202",3790,6.96,"12","14","1815","6","A1","3","2","6",7,"0"
"2002C04203",921,137.14,"12","11","1915","3","D1","3","2","4",7,"0"
"2002C04226",2031,253.26,"12","19","1700","4","D2","1","1","4",7,"0"
"2002C04233",1353,173.16,"12","15","1500","7","D1","3","2","1",7,"0"
"2002C04257",3752,4.03,"12","09","1540","1","D1","2","9","1",7,"0"
"2002C04264",1302,169.06,"12","09","1740","1","D1","3","2","6",7,"0"
"2002C04273",957,141.92,"12","17","0715","2","A1","3","2","3",7,"0"
"2002C04292",2728,70.59,"12","30","0655","1","D1","4","3","4",0,"0"
"2002C04303",1419,179.31,"12","31","1530","2","A1","2","9","1",1,"0"
"2002C04306",3712,1.12,"12","23","1100","1","A1","5","1","1",1,"0"
"2002C04313",1106,155.09,"12","21","1830","6","D2","2","1","4",1,"0"
"2002C04326",859,131.38,"12","23","1545","1","D1","1","1","1",7,"0"
"2002C04330",3798,7.62,"12","23","1725","1","D2","1","1","4",1,"0"
"2002C04332",9,0.65,"12","23","1215","1","D1","1","1","1",1,"0"
"2002C04337",2253,2.28,"12","20","1640","5","A1","1","1","3",7,"0"
"2002C04550",1604,198.70,"09","19","1730","4","A1","3","2","1",7,"0"
"2002C04553",2244,1.45,"09","19","0750","4","D1","1","1","1",7,"0"
"2002C04558",986,145.06,"09","19","1830","4","D1","2","1","3",1,"0"
"2002C04559",3803,8.41,"09","19","1840","4","A3","3","2","3",7,"0"
"2002C04564",28,1.59,"09","25","0630","3","D1","1","1","4",1,"0"
"2002C04573",3748,3.64,"09","25","0830","3","A1","1","1","1",7,"0"
"2002C04582",1332,171.47,"10","30","0825","3","D1","1","1","1",1,"0"
"2002C04584",2404,14.87,"10","30","1815","3","A1","1","1","3",1,"0"
"2002C04598",1163,159.82,"10","15","0930","2","A4","1","1","1",7,"0"
"2002C04623",1316,170.10,"04","07","1430","7","D1","1","1","1",0,"0"
"2002C04634",1225,163.79,"04","18","1100","4","A1","1","1","1",1,"0"
"2002C04652",3987,21.27,"04","24","0830","3","D1","1","1","1",1,"0"
"2002C04653",4038,24.42,"04","24","1615","3","A1","1","1","1",7,"0"
"2002C04655",1304,169.23,"04","24","0930","3","D2","1","1","1",7,"0"
"2002C04660",4190,7.01,"04","24","0825","3","D1","1","1","1",1,"0"
"2002C04665",1298,168.39,"04","27","1830","6","D4","1","1","1",1,"0"
"2002C04675",3788,6.49,"11","26","1445","2","D2","1","1","1",1,"0"
"2002C04687",5,0.33,"11","04","0700","1","A3","2","2","2",6,"0"
"2002C04697",3946,17.81,"09","05","1745","4","A1","1","1","1",7,"0"
"2002C04857",17,1.07,"12","11","1700","3","D1","0","2","3",7,"0"
"2002C04859",1300,168.66,"12","18","1410","3","D1","1","1","1",7,"0"
"2002C04862",1339,172.16,"12","25","1300","3","D2","3","2","1",1,"0"
"2002C04875",1350,173.05,"11","19","1725","2","D5","3","2","4",7,"0"
"2002000067",1339,171.96,"01","04","1440","5","D2","1","1","1",1,"0"
"2002000093",3506,278.51,"01","04","2135","5","A3","2","1","4",7,"0"
"2002000094",4038,24.46,"01","02","1715","3","A2","1","1","6",7,"0"
"2002000097",3597,284.61,"01","03","1654","4","A4","2","2","6",1,"0"
"2002000109",4262,11.25,"01","02","0914","3","D1","3","2","1",1,"0"
"2002000126",927,137.96,"01","06","0215","7","D1","1","1","6",7,"0"
"2002000131",1198,162.32,"01","05","0740","6","D3","3","2","1",7,"0"
"2002000136",3598,284.71,"01","03","1655","4","A4","2","1","6",1,"0"
"2002000158",1456,182.62,"01","01","2100","2","A3","3","2","4",7,"0"
"2002000177",953,141.28,"01","11","1734","5","A1","1","1","3",1,"0"
"2002000263",1233,164.55,"01","08","1815","2","D2","2","1","4",1,"0"
"2002000274",1275,166.46,"01","06","1246","7","A4","3","2","1",1,"0"
"2002000279",1339,172.15,"01","08","1133","2","D3","2","2","1",1,"0"
"2002000286",877,133.26,"01","03","1755","4","D3","2","1","4",1,"0"
"2002000287",892,134.46,"01","02","1730","3","A4","1","1","4",1,"0"
"2002000303",892,134.36,"01","07","0834","1","A5","3","2","2",1,"0"
"2002000308",951,141.01,"01","08","1730","2","D3","2","1","4",7,"0"
"2002000309",3816,10.09,"01","04","1430","5","D2","1","1","1",7,"0"
"2002000312",952,141.21,"01","02","1538","3","D4","1","1","1",1,"0"
"2002000340",4209,7.53,"01","02","0759","3","D1","3","2","1",1,"0"
"2002000345",958,142.04,"01","03","1600","4","A1","2","1","3",7,"0"
"2002000357",563,83.57,"01","07","1552","1","A2","3","2","1",1,"0"
"2002000358",4047,25.28,"01","19","1345","6","A2","2","2","1",1,"0"
"2002000368",850,129.75,"01","06","2148","7","D2","3","2","4",7,"0"
"2002000370",4057,26.45,"01","03","0640","4","D2","2","1","4",7,"0"
"2002000387",671,105.57,"01","04","1754","5","D2","2","1","4",1,"0"
"2002000411",975,144.16,"01","09","1023","3","D5","1","1","1",1,"0"
"2002000417",791,120.96,"01","11","0950","5","D2","2","1","1",7,"0"
"2002000454",891,134.25,"01","03","1735","4","D5","1","1","3",1,"0"
"2002000485",538,81.72,"01","01","1430","2","D2","3","2","1",1,"0"
"2002000503",889,134.17,"01","19","1712","6","A4","2","1","3",1,"0"
"2002000539",2344,8.36,"01","19","1650","6","D1","1","2","4",1,"0"
"2002000542",2344,8.39,"01","19","1700","6","D1","2","1","6",7,"0"
"2002000554",4120,3.57,"01","10","0930","4","D2","1","1","1",1,"0"
"2002000558",3957,18.73,"01","03","1700","4","A4","1","1","6",7,"0"
"2002000561",2360,9.60,"01","07","0743","1","D1","3","2","1",7,"0"
"2002000562",3813,9.85,"01","16","0635","3","A2","1","1","4",1,"0"
"2002000563",3863,12.96,"01","08","1704","2","D3","2","1","4",1,"0"
"2002000567",3946,17.79,"01","08","1845","2","A1","2","1","4",7,"0"
"2002000570",4241,9.42,"01","18","1812","5","D2","3","2","4",1,"0"
"2002000571",3934,17.33,"01","18","1832","5","A3","3","2","6",1,"0"
"2002000585",3952,18.29,"01","03","1715","4","A4","2","1","4",1,"0"
"2002000587",92,8.10,"01","15","1207","2","A2","1","1","1",1,"0"
"2002000598",3758,4.44,"01","17","1730","4","A2","2","1","4",1,"0"
"2002000616",4159,5.96,"01","10","1847","4","D2","1","1","4",1,"0"
"2002000619",2376,11.67,"01","14","0745","1","D1","1","1","1",7,"0"
"2002000620",3829,10.53,"01","02","1815","3","D3","1","1","4",7,"0"
"2002000625",4033,24.26,"01","02","1700","3","A2","1","1","6",7,"0"
"2002000634",4111,1.22,"01","07","1230","1","A1","3","2","1",1,"0"
"2002000635",2223,0.69,"01","05","1845","6","D2","3","2","4",1,"0"
"2002000651",1299,168.50,"01","06","1125","7","A1","3","2","1",7,"0"
"2002000653",1558,192.97,"01","04","1720","5","D1","1","1","5",1,"0"
